timestamp,step,tokens_seen,split,loss
1785883911.2660277,38650,158619600,train,4.309956
1785883914.8338194,38675,158722200,train,4.340970
1785883918.4149733,38700,158824800,train,4.296506
1785883934.2601006,38725,158927400,train,4.252164
1785883937.8396695,38750,159030000,train,4.331061
1785883938.7297966,38750,159030000,eval,4.100689
1785883942.2795892,38775,159132600,train,4.368228
1785883945.817314,38800,159235200,train,4.326136
1785883961.6905918,38825,159337800,train,4.276067
1785883965.2537358,38850,159440400,train,4.220340
1785883968.8763149,38875,159543000,train,4.224679
1785883972.4404392,38900,159645600,train,4.346681
1785883990.97029,38925,159748200,train,4.255561
1785883994.5582058,38950,159850800,train,4.330986
1785883998.111844,38975,159953400,train,4.272944
1785884001.6813018,39000,160056000,train,4.209514
1785884002.5916448,39000,160056000,eval,4.099695
1785884018.559375,39025,160158600,train,4.205354
1785884022.1352117,39050,160261200,train,4.280888
1785884025.8247404,39075,160363800,train,4.230819
1785884029.4050012,39100,160466400,train,4.240440
1785884045.3493464,39125,160569000,train,4.328440
1785884048.954481,39150,160671600,train,4.280689
1785884052.5517638,39175,160774200,train,4.279149
1785884056.1252449,39200,160876800,train,4.373131
1785884071.9289575,39225,160979400,train,4.230810
1785884075.5260715,39250,161082000,train,4.295548
1785884076.4151807,39250,161082000,eval,4.096757
1785884080.094523,39275,161184600,train,4.343493
1785884083.6748476,39300,161287200,train,4.288545
1785884099.8581817,39325,161389800,train,4.316004
1785884103.4838603,39350,161492400,train,4.259356
1785884107.085161,39375,161595000,train,4.340342
1785884110.667926,39400,161697600,train,4.210036
1785884126.7800555,39425,161800200,train,4.331044
1785884130.3722596,39450,161902800,train,4.335394
1785884133.9563015,39475,162005400,train,4.226510
1785884137.5158474,39500,162108000,train,4.332462
1785884138.4049833,39500,162108000,eval,4.097311
1785884154.3757226,39525,162210600,train,4.170430
1785884157.959924,39550,162313200,train,4.291187
1785884161.5477495,39575,162415800,train,4.260385
1785884165.1137333,39600,162518400,train,4.274108
1785884181.5307431,39625,162621000,train,4.203127
1785884185.0939388,39650,162723600,train,4.255461
1785884188.682206,39675,162826200,train,4.179953
1785884192.2422614,39700,162928800,train,4.208634
1785884208.12717,39725,163031400,train,4.265417
1785884211.6948168,39750,163134000,train,4.215483
1785884212.5814602,39750,163134000,eval,4.095674
1785884216.163202,39775,163236600,train,4.372428
1785884219.7138507,39800,163339200,train,4.335378
1785884235.737303,39825,163441800,train,4.265445
1785884239.314454,39850,163544400,train,4.398701
1785884243.0841954,39875,163647000,train,4.160083
1785884246.6878264,39900,163749600,train,4.296944
1785884262.5941644,39925,163852200,train,4.285639
1785884266.1707408,39950,163954800,train,4.262019
1785884269.721717,39975,164057400,train,4.344798
1785884273.3332365,40000,164160000,train,4.281620
1785884274.2245138,40000,164160000,eval,4.092916
1785884289.9893632,40025,164262600,train,4.281424
1785884293.5487788,40050,164365200,train,4.235586
1785884297.168679,40075,164467800,train,4.307775
1785884300.7528098,40100,164570400,train,4.232523
1785884316.5191708,40125,164673000,train,4.355042
